"outcome","term","OR","CI_low","CI_high","p_value"
"ESS_binary","Age",1.00986573602506,0.989288035281264,1.0318756496978,0.359085747766133
"ESS_binary","Gender_fFemale",0.516986301369498,0.270844178970636,0.950263927566569,0.0384067760089597
"ESS_binary","BMI",1.02423159207079,0.972454319622095,1.07785965763116,0.359093674601999
"ESS_binary","TimeSinceTransplant",0.985527237583947,0.935732887333686,1.03489407728357,0.568380179796764
"ESS_binary","LiverDiagnosis_fHepC",2.94055944055942,1.39506264352823,6.46747257667128,0.00556684794256653
"ESS_binary","LiverDiagnosis_fHepB",1.11538461538483,0.284380271911837,3.6700625100316,0.864036115903791
"ESS_binary","LiverDiagnosis_fAlcohol",1.64372469636074,0.549484701177823,4.65051484138388,0.35580225990723
"ESS_binary","LiverDiagnosis_fOther",1.32896890343956,0.567770207796675,3.13173119373963,0.510596861487091
"ESS_binary","Recurrence_fYes",1.94347319346898,1.04219463903936,3.58757715528471,0.0344647922320243
"ESS_binary","Rejection_fYes",2.07607433216825,1.12799069661355,3.79534128814215,0.0179045724887717
"ESS_binary","AnyFibrosis_fYes",1.99529411764159,0.97472210860746,4.00347590925683,0.0538759362264035
"ESS_binary","Depression_fYes",1.74940898344694,0.914746158357101,3.29148424777545,0.0855521812253291
"ESS_binary","Corticosteroid_fYes",1.4873614190654,0.824222489884482,2.6599121778791,0.182739855238277
"PSQI_binary","Age",0.98646305845574,0.964279675083462,1.00822639991899,0.2281722547305
"PSQI_binary","Gender_fFemale",2.1333333333269,1.12387938594762,4.17052974393958,0.0229568478586553
"PSQI_binary","BMI",1.05297007780422,0.991250673812241,1.12376011353142,0.104639417783818
"PSQI_binary","TimeSinceTransplant",0.968295246731217,0.918936168359277,1.02022649377078,0.224450231531804
"PSQI_binary","LiverDiagnosis_fHepC",1.36904761904694,0.60557436346294,3.16183094003524,0.454035022456817
"PSQI_binary","LiverDiagnosis_fHepB",1.40555555555461,0.447822284302485,4.94093487824083,0.571604980171191
"PSQI_binary","LiverDiagnosis_fAlcohol",0.718750000000001,0.240552397978214,2.16865940356603,0.551398047537638
"PSQI_binary","LiverDiagnosis_fOther",1.23784722222207,0.558894306292996,2.7795532865621,0.60049897528003
"PSQI_binary","Recurrence_fYes",2.96987951807217,1.33739676524878,7.31812750451103,0.0110950501569562
"PSQI_binary","Rejection_fYes",1.52151462994595,0.757978947933507,3.1774983494884,0.248220497105935
"PSQI_binary","AnyFibrosis_fYes",2.66874999999984,1.02481554379109,8.3256886696642,0.0609575469674975
"PSQI_binary","Depression_fYes",4.09638554216868,1.72283300595125,11.389060876641,0.00293821606478281
"PSQI_binary","Corticosteroid_fYes",1.02222222222221,0.533751693805829,1.99012864239207,0.947604829727926
"AIS_binary","Age",0.986814673838888,0.968674937129332,1.00479653854946,0.153763474777164
"AIS_binary","Gender_fFemale",1.32132132132132,0.792104516380498,2.21936043719168,0.288180568018389
"AIS_binary","BMI",1.01388648882477,0.968329831603847,1.0625031525969,0.558419463729204
"AIS_binary","TimeSinceTransplant",0.966688742649943,0.925313949359896,1.00919905043287,0.124406008948359
"AIS_binary","LiverDiagnosis_fHepC",1.09206349206349,0.566949250044233,2.10745007417687,0.79211109007584
"AIS_binary","LiverDiagnosis_fHepB",0.831168831168827,0.323441427717486,2.14744031316554,0.699366178882247
"AIS_binary","LiverDiagnosis_fAlcohol",0.380952380952457,0.145946927909041,0.939139954113888,0.0404098558147339
"AIS_binary","LiverDiagnosis_fOther",1.14285714285714,0.581236204943054,2.25724303538043,0.698885904160037
"AIS_binary","Recurrence_fYes",2.0446078431362,1.13581134367889,3.7815029697345,0.0192520392956572
"AIS_binary","Rejection_fYes",1.16947437595276,0.669074922863622,2.06297132914994,0.584624394546451
"AIS_binary","AnyFibrosis_fYes",2.09401709401464,1.03488265121363,4.47057696939345,0.0459410864965507
"AIS_binary","Depression_fYes",2.68076923076178,1.4239012243178,5.2803085802368,0.00300915002532069
"AIS_binary","Corticosteroid_fYes",1.44115691489361,0.851070735937994,2.46491729398369,0.176962417552812
"Berlin_binary","Age",1.02412259302065,1.0047964949345,1.04487207747491,0.0164645920353037
"Berlin_binary","Gender_fFemale",0.9439643885834,0.557922430070887,1.58603944608253,0.828362077600765
"Berlin_binary","BMI",1.17216523675074,1.10954256673877,1.24483313800273,5.5725327648519e-08
"Berlin_binary","TimeSinceTransplant",1.03047205148821,0.986526505470543,1.07653987526156,0.175996027812617
"Berlin_binary","LiverDiagnosis_fHepC",1.05925324675325,0.544073855656777,2.06477555517909,0.865293697320831
"Berlin_binary","LiverDiagnosis_fHepB",0.857142857142918,0.309979275308493,2.24286519982058,0.757666628853648
"Berlin_binary","LiverDiagnosis_fAlcohol",0.80357142857159,0.307043873469185,2.0008014468814,0.644479746698702
"Berlin_binary","LiverDiagnosis_fOther",1.18421052631579,0.600165599161043,2.34155762345464,0.625444092740719
"Berlin_binary","Recurrence_fYes",1.35135135135134,0.757768642432681,2.39744516492796,0.303968421850124
"Berlin_binary","Rejection_fYes",0.837209302325608,0.465950321470674,1.47951603907433,0.545266154875107
"Berlin_binary","AnyFibrosis_fYes",0.931034482758622,0.456157847374683,1.84649690723142,0.840183657374832
"Berlin_binary","Depression_fYes",1.42359932088283,0.783067268074241,2.57606044007389,0.243299280404212
"Berlin_binary","Corticosteroid_fYes",0.80201602481265,0.463032568737072,1.37201164699073,0.424739957972081
